Région;Ancienne région;Département;Zone d'emploi;EPCI;Nom commune;Commune;Grand secteur d'activité;Secteur NA17;Secteur NA38;Secteur NA88;APE;Code région;Code ancienne région;Code département;Code zone d'emploi;Code EPCI;Code commune;Code APE;Nombre d'établissements 2006;Effectifs salariés 2006;Nombre d'établissements 2007;Effectifs salariés 2007;Nombre d'établissements 2008;Effectifs salariés 2008;Nombre d'établissements 2009;Effectifs salariés 2009;Nombre d'établissements 2010;Effectifs salariés 2010;Nombre d'établissements 2011;Effectifs salariés 2011;Nombre d'établissements 2012;Effectifs salariés 2012;Nombre d'établissements 2013;Effectifs salariés 2013;Nombre d'établissements 2014;Effectifs salariés 2014;Nombre d'établissements 2015;Effectifs salariés 2015;Nombre d'établissements 2016;Effectifs salariés 2016;Nombre d'établissements 2017;Effectifs salariés 2017;Nombre d'établissements 2018;Effectifs salariés 2018;Nombre d'établissements 2019;Effectifs salariés 2019;Nombre d'établissements 2020;Effectifs salariés 2020;Nombre d'établissements 2021;Effectifs salariés 2021;Nombre d'établissements 2022;Effectifs salariés 2022;Nombre d'établissements 2023;Effectifs salariés 2023;Nombre d'établissements 2024;Effectifs salariés 2024
Pays de la Loire;Pays de la Loire;Maine-et-Loire;Angers;Communauté urbaine Angers Loire Métropole;Angers;49007 Angers;GS1 Industrie;C1 Industries agro-alimentaires;CA Industries agro-alimentaires;10 Industries alimentaires;1032Z Préparation de jus de fruits et légumes;52;52;49;5202;244900015;49007;1032Z;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pays de la Loire;Pays de la Loire;Maine-et-Loire;Angers;Communauté urbaine Angers Loire Métropole;Angers;49007 Angers;GS1 Industrie;C5 autres produits industriels;"CM Industrie du meuble et diverses ; réparation et installation de machines";32 autres industries manufacturières;3250A Fabrication de matériel médico-chirurgical et dentaire;52;52;49;5202;244900015;49007;3250A;15;98;18;103;17;104;16;108;16;102;17;106;16;105;17;99;17;101;15;100;15;102;16;96;14;96;14;96;11;94;11;89;10;83;8;87;8;85
Pays de la Loire;Pays de la Loire;Maine-et-Loire;Angers;Communauté urbaine Angers Loire Métropole;Angers;49007 Angers;GS2 Construction;FZ Construction;FZ Construction;41 Construction de bâtiments;4110A Promotion immobilière de logements;52;52;49;5202;244900015;49007;4110A;10;82;10;92;10;77;8;81;9;76;9;97;9;97;12;119;10;117;8;114;8;105;8;99;9;91;9;85;7;73;9;85;12;94;11;78;9;41
Pays de la Loire;Pays de la Loire;Maine-et-Loire;Angers;Communauté urbaine Angers Loire Métropole;Angers;49007 Angers;GS2 Construction;FZ Construction;FZ Construction;43 Travaux de construction spécialisés;4322A Travaux d'installation d'eau et de gaz en tous locaux;52;52;49;5202;244900015;49007;4322A;8;110;9;106;9;103;7;98;10;91;10;84;10;76;12;72;12;61;11;54;9;52;11;57;9;58;9;63;9;69;12;85;10;84;8;65;10;62
Pays de la Loire;Pays de la Loire;Maine-et-Loire;Angers;Communauté urbaine Angers Loire Métropole;Angers;49007 Angers;GS2 Construction;FZ Construction;FZ Construction;43 Travaux de construction spécialisés;4329A Travaux d'isolation;52;52;49;5202;244900015;49007;4329A;1;8;2;12;3;13;3;15;2;20;2;31;1;16;1;23;1;37;2;49;2;63;4;68;4;71;4;44;7;60;6;43;7;20;5;10;5;15
Pays de la Loire;Pays de la Loire;Maine-et-Loire;Angers;Communauté urbaine Angers Loire Métropole;Angers;49007 Angers;GS2 Construction;FZ Construction;FZ Construction;43 Travaux de construction spécialisés;4333Z Travaux de revêtement des sols et des murs;52;52;49;5202;244900015;49007;4333Z;3;32;2;34;2;35;3;31;3;27;2;22;2;20;2;21;5;24;6;29;6;36;8;45;5;29;6;25;10;31;9;27;8;29;7;28;7;29
Pays de la Loire;Pays de la Loire;Maine-et-Loire;Angers;Communauté urbaine Angers Loire Métropole;Angers;49007 Angers;GS2 Construction;FZ Construction;FZ Construction;43 Travaux de construction spécialisés;4399D Autres travaux spécialisés de construction;52;52;49;5202;244900015;49007;4399D;2;17;3;13;3;17;4;32;3;14;3;16;4;17;3;13;4;12;2;11;2;11;1;5;1;5;1;5;1;5;1;6;1;5;2;5;2;6
Pays de la Loire;Pays de la Loire;Maine-et-Loire;Angers;Communauté urbaine Angers Loire Métropole;Angers;49007 Angers;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;45 Commerce et réparation d'automobiles et de motocycles;4531Z Commerce de gros d'équipements automobiles;52;52;49;5202;244900015;49007;4531Z;9;176;8;199;8;209;8;190;8;190;8;196;8;206;9;206;8;200;8;186;5;153;6;150;6;148;6;149;6;149;6;145;6;152;6;158;6;167
Pays de la Loire;Pays de la Loire;Maine-et-Loire;Angers;Communauté urbaine Angers Loire Métropole;Angers;49007 Angers;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;45 Commerce et réparation d'automobiles et de motocycles;4540Z Commerce et réparation de motocycles;52;52;49;5202;244900015;49007;4540Z;2;6;2;7;2;6;1;1;1;1;2;3;2;5;2;4;1;2;2;2;1;0;1;1;;;1;2;1;3;1;3;1;4;1;4;1;4
Pays de la Loire;Pays de la Loire;Maine-et-Loire;Angers;Communauté urbaine Angers Loire Métropole;Angers;49007 Angers;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;46 Commerce de gros, à l'exception des automobiles et des motocycles;4616Z Intermédiaires du commerce en textiles, habillement, fourrures;52;52;49;5202;244900015;49007;4616Z;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;
Pays de la Loire;Pays de la Loire;Maine-et-Loire;Angers;Communauté urbaine Angers Loire Métropole;Angers;49007 Angers;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;46 Commerce de gros, à l'exception des automobiles et des motocycles;4619A Centrales d'achat non alimentaires;52;52;49;5202;244900015;49007;4619A;;;;;1;15;1;15;1;15;1;16;1;19;1;18;1;11;;;;;;;;;;;;;;;;;;;;
Pays de la Loire;Pays de la Loire;Maine-et-Loire;Angers;Communauté urbaine Angers Loire Métropole;Angers;49007 Angers;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;46 Commerce de gros, à l'exception des automobiles et des motocycles;4669C Commerce de gros (commerce interentreprises) de fournitures;52;52;49;5202;244900015;49007;4669C;1;7;3;9;2;3;2;3;1;1;3;3;3;4;3;5;3;4;3;4;3;5;3;4;3;4;3;4;3;5;1;1;1;1;1;1;1;1
Pays de la Loire;Pays de la Loire;Maine-et-Loire;Angers;Communauté urbaine Angers Loire Métropole;Angers;49007 Angers;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;46 Commerce de gros, à l'exception des automobiles et des motocycles;4676Z Commerce de gros (commerce interentreprises) d'autres produits intermédiaires;52;52;49;5202;244900015;49007;4676Z;1;11;1;10;1;8;;;;;;;;;;;;;;;;;;;;;;;1;1;1;3;2;7;1;6;;
Pays de la Loire;Pays de la Loire;Maine-et-Loire;Angers;Communauté urbaine Angers Loire Métropole;Angers;49007 Angers;GS3 Commerce;GZ Commerce;GZ Commerce, réparation d'automobiles et de motocycles;47 Commerce de détail, à l'exception des automobiles et des motocycles;4711A Commerce de détail de produits surgelés;52;52;49;5202;244900015;49007;4711A;4;33;4;33;4;19;5;16;5;18;5;17;5;20;5;17;4;15;4;15;4;21;4;16;4;21;4;19;5;29;5;27;5;20;4;16;4;19
